customer_id,age,region,favorite_team,join_date,membership_tier,season_ticket_yn,purchase_count,total_spent,last_purchase_date,sns_follow_yn,referral_source,attended_games,favorite_seat_section
KBOFAN0000408,25.0,GWANGJU,SamsungLions,2023-10-22,Bronze,0,9.0,440523.0,2025-09-12,1.0,Friend Referral,10,Premium Box
KBOFAN0001963,41.0,Daejeon-si,LG TWINS,2017-12-23,Bronze,0,5.0,264773.0,2024-01-02,1.0,SNS,10,Infield
KBOFAN0002585,39.0,Cheongju-si, Kiwoom Heroes ,2023-05-07,VIP,N,5.0,168403.0,01/25/2025,1.0,Offline Event,12,Family Zone
KBOFAN0001179,39.0, Seoul,DOOSAN BEARS,06/02/2018,Bronze,Yes,2.0,103290.0,2025-04-04,,Friend Referral,8,Outfield
KBOFAN0003783,58.0, Daegu,KIWOOM HEROES,05/07/2017,Silver,1,6.0,265236.0,09/20/2025,0.0,Advertisement,13,Family Zone
KBOFAN0002191,42.0, Busan,kt wiz,08/12/2020,Bronze,0,4.0,227512.0,02/24/2023,1.0,Advertisement,9,Outfield
KBOFAN0000388,41.0,SEOUL,LG TWINS,2023-12-09,,Y,6.0,211881.0,2024.03.27,0.0,SNS,14,Outfield
KBOFAN0004883,68.0,Busan,KIA TIGERS,03/17/2021,Bronze,n,6.0,218432.0,2023-03-07,,Club Website,13,Outfield
KBOFAN0002932,37.0,Busan ,NCDinos,2017-12-19,Bronze,N,7.0,360134.0,11/19/2025,0.0,SNS,14,Family Zone
KBOFAN0002243,,busan,KIATigers,2024-01-31,Bronze,1,10.0,617459.0,2023-10-18,1.0,SNS,8,Family Zone
KBOFAN0002407,43.0, Suwon,nc dinos,2019.12.23,Silver,Yes,4.0,193625.0,2023-09-28,1.0,,14,Outfield
KBOFAN0001792,65.0,Gwangju-si,doosan bears,01/29/2022,Gold,Yes,5.0,188309.0,04/20/2023,1.0,Friend Referral,8,Infield
KBOFAN0002339,62.0,DAEGU,KT Wiz,22-12-2019,Bronze,n,4.0,73398.0,01-04-2025,1.0,Club Website,8,Family Zone
KBOFAN0003542,44.0,Daegu-si, Doosan Bears ,2016.05.07,Silver,n,8.0,248418.0,02/01/2025,0.0,Offline Event,13,
KBOFAN0003334,36.0,SUWON,ssg landers,2016-12-27,Silver,Y,8.0,477816.0,2023.10.21,1.0,Club Website,12,Premium Box
KBOFAN0000681,26.0,Gwangju ,DoosanBears,2015.06.30,Silver,No,10.0,282006.0,04/05/2023,0.0,Friend Referral,12,Premium Box
KBOFAN0001129,29.0,Daegu-si,KIATigers,08/09/2022,Silver,0,3.0,102847.0,2025-10-16,0.0,Offline Event,12,Family Zone
KBOFAN0003202,47.0,Seoul,lg twins,2019.09.10,Gold,Y,4.0,283671.0,2023-07-06,0.0,SNS,16,Outfield
KBOFAN0000420,49.0,Busan , Hanwha Eagles ,2015-01-16,Silver,y,7.0,238402.0,2025-10-06,1.0,SNS,12,Family Zone
KBOFAN0002051,29.0, Incheon, Lotte Giants ,13-08-2022,VIP,N,7.0,209956.0,2025.03.03,1.0,Advertisement,10,Outfield
KBOFAN0002651,23.0,Incheon ,HANWHA EAGLES,2019.10.08,Silver,1,5.0,241078.0,04/12/2025,1.0,Club Website,3,Premium Box
KBOFAN0003869,27.0,SEOUL, Kiwoom Heroes ,01/11/2020,Bronze,Yes,5.0,11462.0,2023-01-22,,SNS,11,Premium Box
KBOFAN0001033,25.0,SEOUL,ssg landers,2024-02-12,Gold,0,7.0,307742.0,2023-02-22,0.0,SNS,11,Premium Box
KBOFAN0002709,46.0,CHEONGJU,kiwoom heroes,2020.04.14,Bronze,0,6.0,153789.0,2023.09.18,1.0,Friend Referral,16,Family Zone
KBOFAN0003173,41.0,DAEGU, LG Twins ,03/31/2019,VIP,N,6.0,213366.0,2023-04-21,1.0,SNS,8,Family Zone
KBOFAN0004975,60.0,Cheongju, LG Twins ,2023-02-10,Bronze,Yes,1.0,1676.0,2024-02-06,1.0,Friend Referral,9,Premium Box
KBOFAN0003648,40.0,,lotte giants,08/29/2023,Bronze,y,9.0,196643.0,2024-06-29,1.0,SNS,10,Family Zone
KBOFAN0000146,69.0,Cheongju City, KIA Tigers ,08/05/2016,Silver,n,7.0,417443.0,2024-11-24,1.0,Offline Event,13,Outfield
KBOFAN0003130,38.0,Cheongju City,lotte giants,2022-05-15,Gold,Y,,99625.0,02/22/2025,,Advertisement,5,Table Seat
KBOFAN0001196,,JEJU,KiwoomHeroes,2015-01-29,Bronze,y,5.0,196852.0,04-07-2023,1.0,SNS,8,Table Seat
KBOFAN0001628,75.0,Gwangju,nc dinos,08/04/2018,Gold,N,6.0,167195.0,11/14/2023,1.0,Advertisement,5,Infield
KBOFAN0001415,66.0,SEOUL,Lotte Giants,2022-09-13,Gold,y,4.0,99094.0,2025-03-01,0.0,Advertisement,11,
KBOFAN0003513,33.0,CHEONGJU,SamsungLions,2023-09-02,Bronze,n,14.0,427368.0,2024-09-09,0.0,Offline Event,6,Table Seat
KBOFAN0000475,29.0,Seoul ,SSG LANDERS,2020.09.14,Bronze,n,7.0,398251.0,2023.11.11,,,9,Premium Box
KBOFAN0003369,52.0,, Lotte Giants ,12/18/2017,Bronze,No,9.0,230356.0,04-03-2025,1.0,Friend Referral,11,Table Seat
KBOFAN0004237,55.0,Seoul City,Samsung Lions,06-10-2018,Gold,y,5.0,101107.0,2023-09-21,0.0,Friend Referral,11,Family Zone
KBOFAN0004482,75.0, Incheon,KIA Tigers,03/20/2015,Silver,Yes,9.0,402245.0,09-11-2024,0.0,SNS,7,Family Zone
KBOFAN0004094,59.0,Jeju City,NCDinos,01/15/2015,,N,2.0,47128.0,2025-02-04,1.0,Club Website,9,Infield
KBOFAN0000616,64.0,, LG Twins ,2020.02.19,VIP,n,5.0,173757.0,2024-05-04,1.0,Advertisement,11,Premium Box
KBOFAN0001548,23.0,jeju,nc dinos,04/25/2023,Bronze,N,5.0,334486.0,08/29/2025,1.0,Friend Referral,18,Premium Box
KBOFAN0001524,41.0, Cheongju,Doosan Bears,15-11-2015,Bronze,0,7.0,223614.0,07-05-2025,,Advertisement,17,Outfield
KBOFAN0001058,59.0, Daejeon, LG Twins ,12-10-2023,VIP,No,7.0,342537.0,01/20/2025,0.0,SNS,9,Outfield
KBOFAN0000403,59.0,SEOUL,Samsung Lions,09/08/2020,Silver,Yes,7.0,119436.0,10/14/2025,0.0,Friend Referral,6,Premium Box
KBOFAN0002036,30.0,Suwon ,LG TWINS,01/10/2018,,n,6.0,155265.0,2024.04.17,,Club Website,16,Table Seat
KBOFAN0003708,71.0,Daegu ,KIA Tigers,2022-07-16,Gold,Y,,402663.0,06/14/2024,1.0,Offline Event,11,Infield
KBOFAN0000454,41.0,Incheon ,DOOSAN BEARS,2024-11-06,Gold,y,5.0,172906.0,13-02-2023,,SNS,8,Outfield
KBOFAN0002786,44.0,Cheongju ,LG Twins,2016.09.07,Gold,1,5.0,134956.0,2025-04-05,0.0,Advertisement,13,Table Seat
KBOFAN0004467,22.0,Cheongju-si,LG Twins,2021-02-23,,N,4.0,77150.0,31-12-2025,0.0,Club Website,9,Family Zone
KBOFAN0002421,42.0,Seoul ,LG TWINS,2022-01-25,Bronze,1,7.0,321605.0,12/18/2025,,SNS,11,Outfield
KBOFAN0003667,59.0,Changwon-si,nc dinos,2024-06-02,Gold,1,5.0,95153.0,2024.07.24,1.0,Advertisement,8,Table Seat
KBOFAN0003200,70.0,Suwon, Samsung Lions ,04/20/2019,Bronze,n,8.0,30013.0,08/06/2023,0.0,Offline Event,10,Premium Box
KBOFAN0001324,16.0,Cheongju ,SSG LANDERS,2022-10-24,Bronze,y,5.0,60650.0,09/01/2024,,SNS,16,Table Seat
KBOFAN0002865,34.0, Busan,kt wiz,18-05-2015,Bronze,1,6.0,137001.0,2025.07.06,0.0,Club Website,12,Outfield
KBOFAN0000359,57.0,INCHEON, LG Twins ,13-08-2015,Bronze,n,10.0,392031.0,2025-07-04,1.0,Friend Referral,11,Table Seat
KBOFAN0004943,55.0,Busan-si,HanwhaEagles,06/16/2017,Bronze,0,6.0,154345.0,21-10-2024,1.0,Offline Event,12,Premium Box
KBOFAN0003431,44.0,daegu,lg twins,2022.09.18,Silver,Yes,5.0,139455.0,2023-12-01,1.0,Offline Event,5,Infield
KBOFAN0003845,55.0,Daegu,LG TWINS,04-12-2022,Bronze,N,4.0,126632.0,2023.05.17,0.0,Offline Event,9,
KBOFAN0003063,60.0,Busan,NCDinos,2023-10-23,Bronze,n,8.0,294254.0,11/01/2025,1.0,Friend Referral,13,Outfield
KBOFAN0001990,62.0,Seoul-si,HANWHA EAGLES,2019.05.25,Bronze,No,9.0,349283.0,2023-12-09,0.0,Friend Referral,6,Premium Box
KBOFAN0001335,,daejeon, Hanwha Eagles ,2015-06-10,Gold,0,7.0,234572.0,2024-08-10,0.0,Advertisement,7,Outfield
KBOFAN0004277,16.0, Seoul,KIATigers,2024-03-02,Bronze,N,8.0,178844.0,28-03-2025,0.0,Friend Referral,12,Table Seat
KBOFAN0004383,61.0,Gwangju-si,KT WIZ,2022-10-31,Bronze,n,8.0,297703.0,09/05/2023,0.0,Club Website,15,Infield
KBOFAN0004968,63.0, Jeju,SSGLanders,2015-03-12,Silver,n,8.0,553688.0,2024.11.08,,SNS,8,Family Zone
KBOFAN0003990,17.0, Seoul,SAMSUNG LIONS,05/22/2023,Silver,1,2.0,86527.0,2025-03-29,0.0,Club Website,7,Premium Box
KBOFAN0000736,56.0,Cheongju City,ssg landers,08-04-2022,Gold,No,3.0,190994.0,2024-02-03,,Advertisement,12,Family Zone
KBOFAN0003905,70.0,INCHEON,doosan bears,2021.06.09,Silver,y,4.0,184248.0,2024.03.24,1.0,,11,Infield
KBOFAN0003910,17.0,Cheongju , SSG Landers ,28-06-2018,Bronze,Yes,6.0,339498.0,2024.12.08,1.0,Friend Referral,12,Family Zone
KBOFAN0001807,20.0,CHANGWON,,01-05-2015,Bronze,No,3.0,150866.0,2024-12-06,0.0,SNS,12,Infield
KBOFAN0001872,70.0,Cheongju ,ssg landers,2021.08.18,Bronze,Y,10.0,191117.0,2025-01-01,0.0,Friend Referral,16,Table Seat
KBOFAN0001528,65.0, Suwon,KTWiz,2021-01-27,,N,3.0,2438022.802,2024-12-11,1.0,Offline Event,12,Infield
KBOFAN0003735,19.0,Incheon City,Kiwoom Heroes,2019-09-24,Bronze,n,7.0,206811.0,2024-07-07,0.0,Club Website,14,Outfield
KBOFAN0003113,72.0,gwangju,SamsungLions,2016-04-21,Bronze,No,7.0,180706.0,2023-10-23,1.0,Advertisement,8,Table Seat
KBOFAN0003551,49.0,JEJU,nc dinos,2015-03-08,Bronze,n,5.0,81389.0,28-08-2024,0.0,Friend Referral,13,Family Zone
KBOFAN0001437,64.0,Seoul,LG TWINS,2018-08-04,Gold,Y,5.0,189587.0,2025-04-14,0.0,Advertisement,11,Infield
KBOFAN0002235,64.0,INCHEON,Doosan Bears,12-08-2022,Silver,Y,2.0,43120.0,2025.10.06,0.0,Club Website,10,Family Zone
KBOFAN0002514,72.0,Changwon City, Samsung Lions ,10/10/2020,Gold,0,8.0,313945.0,11/26/2024,0.0,SNS,9,Premium Box
KBOFAN0003814,64.0,Gwangju ,ssg landers,2017-03-24,Silver,Y,3.0,60238.0,06-11-2025,1.0,Offline Event,9,Family Zone
KBOFAN0003786,65.0,Seoul City,kia tigers,2023.04.22,Silver,Yes,7.0,199620.0,17-09-2023,1.0,Offline Event,10,Table Seat
KBOFAN0004994,40.0,Incheon ,KIATigers,10/25/2016,VIP,y,6.0,210100.0,02/26/2024,0.0,Friend Referral,11,Infield
KBOFAN0000563,57.0,JEJU,ssg landers,10/25/2021,Bronze,N,5.0,254110.0,2024-12-28,0.0,Offline Event,12,
KBOFAN0003124,24.0, Daegu,hanwha eagles,2022-07-13,VIP,0,6.0,336332.0,2024-06-26,0.0,Club Website,8,Table Seat
KBOFAN0002889,20.0, Suwon,KIATigers,2023-04-09,Silver,N,1.0,36281.0,08/29/2025,1.0,Offline Event,8,Premium Box
KBOFAN0004071,56.0,INCHEON,SamsungLions,2022-03-23,Silver,Yes,5.0,208844.0,2023.06.04,1.0,SNS,10,Premium Box
KBOFAN0004118,,Gwangju, Doosan Bears ,2016-08-12,Bronze,1,4.0,174410.0,2023-10-28,0.0,Club Website,13,Premium Box
KBOFAN0000562,46.0,Daejeon,LGTwins,01/23/2022,Silver,1,4.0,11704.0,07/31/2025,1.0,SNS,13,Outfield
KBOFAN0002020,52.0,Cheongju-si,SSG Landers,11/21/2020,Silver,Y,4.0,227435.0,2023-09-19,0.0,Friend Referral,7,Outfield
KBOFAN0004480,20.0, Jeju, Doosan Bears ,2018.08.15,Bronze,y,5.0,202563.0,2025-12-11,1.0,Friend Referral,13,Infield
KBOFAN0001593,62.0,,nc dinos,08/11/2024,Silver,N,8.0,264117.0,2024-12-25,0.0,SNS,14,Outfield
KBOFAN0000841,56.0,Daegu-si,KiwoomHeroes,2016-11-29,Gold,y,8.0,58526.0,2023-04-11,1.0,SNS,15,Family Zone
KBOFAN0003465,55.0,Cheongju City,LOTTE GIANTS,2023-05-21,Bronze,0,5.0,64015.0,2025-11-14,1.0,Advertisement,16,Outfield
KBOFAN0002765,31.0,Cheongju ,SSG Landers,2020-06-18,Bronze,No,6.0,187065.0,2023.03.22,1.0,Advertisement,13,Outfield
KBOFAN0003413,72.0,Seoul City,Kiwoom Heroes,2018-12-19,Bronze,1,9.0,495191.0,2023.02.17,0.0,SNS,4,Outfield
KBOFAN0000743,27.0,Busan City,kia tigers,2021.10.26,Silver,Yes,3.0,83877.0,2025-08-26,,Offline Event,8,Premium Box
KBOFAN0001917,37.0,Busan,DOOSAN BEARS,2022.02.21,Silver,1,7.0,241165.0,2023-04-01,1.0,Club Website,14,Infield
KBOFAN0002774,75.0,Seoul ,hanwha eagles,02-08-2016,Bronze,0,8.0,396407.0,2024.11.06,0.0,Friend Referral,14,Family Zone
KBOFAN0000941,26.0,Suwon-si,doosan bears,05-06-2016,Gold,y,8.0,326095.0,2023-09-13,0.0,SNS,7,Table Seat
KBOFAN0001683,56.0,Incheon City,ssg landers,2022.11.04,Bronze,y,9.0,385471.0,11/05/2024,0.0,Club Website,8,Infield
KBOFAN0002121,31.0, Busan,DoosanBears,07/05/2021,Silver,Yes,7.0,255495.0,2023-09-17,1.0,,12,Infield
KBOFAN0004948,39.0,CHANGWON, Hanwha Eagles ,12-04-2019,Bronze,No,10.0,323078.0,04/17/2023,0.0,Offline Event,8,
KBOFAN0003624,42.0,suwon,KT Wiz,2023-07-10,Silver,Y,9.0,541644.0,2025-04-04,1.0,Advertisement,11,Premium Box
KBOFAN0002317,47.0,SUWON, Doosan Bears ,2017-09-02,Gold,1,9.0,108974.0,2024-04-30,0.0,Offline Event,8,Outfield
KBOFAN0000597,21.0,CHEONGJU, SSG Landers ,2021-08-03,Bronze,N,5.0,256810.0,14-04-2024,1.0,SNS,13,
KBOFAN0000961,27.0,Seoul City,hanwha eagles,2023-05-18,Silver,N,6.0,200908.0,2024.12.04,0.0,Friend Referral,5,Family Zone
KBOFAN0002615,19.0,seoul,NCDinos,18-09-2022,Gold,n,6.0,125052.0,05/04/2025,,Advertisement,11,Premium Box
KBOFAN0000319,69.0,Cheongju City,Doosan Bears,29-07-2024,Silver,0,3.0,98651.0,04/11/2025,0.0,Club Website,7,Infield
KBOFAN0003723,41.0, Cheongju,lg twins,2015.06.17,Silver,1,9.0,146328.0,04/09/2025,1.0,Friend Referral,11,Table Seat
KBOFAN0000771,19.0,Jeju-si, LG Twins ,2023-07-12,Silver,Yes,2.0,97797.0,2024-11-20,1.0,Offline Event,8,Premium Box
KBOFAN0001732,18.0,BUSAN,SAMSUNG LIONS,11/29/2016,Silver,N,7.0,328245.0,2023.05.30,0.0,Advertisement,17,Premium Box
KBOFAN0004476,39.0,Incheon,hanwha eagles,2015-06-22,VIP,n,4.0,154730.0,25-07-2024,1.0,Advertisement,14,Premium Box
KBOFAN0004457,,busan,KIATigers,2023-01-02,Silver,0,4.0,39642.0,2024-06-14,,Advertisement,13,Outfield
KBOFAN0002912,,SEOUL,SamsungLions,2016-01-06,Silver,No,11.0,311689.0,03/25/2025,0.0,SNS,8,Family Zone
KBOFAN0000196,33.0, Cheongju,LotteGiants,2018.07.23,VIP,Yes,3.0,127511.0,12/18/2025,1.0,Friend Referral,9,Family Zone
KBOFAN0001556,48.0,, Hanwha Eagles ,2016.09.12,Silver,n,6.0,225749.0,16-04-2025,1.0,Offline Event,9,
KBOFAN0001078,28.0,Daejeon ,kiwoom heroes,2017.12.03,VIP,0,7.0,348660.0,2023.06.28,1.0,Club Website,10,Outfield
KBOFAN0001441,45.0,Busan City,NCDinos,04/08/2016,VIP,1,8.0,431364.0,2024-01-18,0.0,Offline Event,12,Family Zone
KBOFAN0001171,58.0,Daegu-si,SAMSUNG LIONS,2022-08-13,Gold,0,10.0,543763.0,2023-11-06,1.0,Advertisement,11,Outfield
KBOFAN0000005,33.0,seoul,kiwoom heroes,2017-07-17,Gold,Yes,5.0,152736.0,2025.12.08,1.0,Friend Referral,10,Premium Box
KBOFAN0004708,54.0,Gwangju City,HanwhaEagles,2023-09-13,VIP,No,4.0,92165.0,11/27/2024,,Advertisement,9,Table Seat
KBOFAN0004590,72.0,Daejeon City,kt wiz,2024.03.15,Bronze,1,4.0,235708.0,2025-03-31,0.0,SNS,9,Family Zone
KBOFAN0003385,48.0,Incheon-si,LGTwins,2023-07-22,Silver,Y,9.0,319997.0,2023-10-26,1.0,Club Website,11,Infield
KBOFAN0004903,61.0,Seoul-si, KIA Tigers ,2017-08-09,Bronze,Yes,9.0,498947.0,2024-09-21,1.0,Advertisement,11,Family Zone
KBOFAN0000787,58.0,Suwon-si,KTWiz,2017-02-15,Silver,No,6.0,302384.0,2024-11-16,1.0,SNS,17,Infield
KBOFAN0004674,49.0,Changwon,DoosanBears,2023-07-07,Bronze,1,4.0,220819.0,2025.06.20,0.0,Offline Event,10,Family Zone
KBOFAN0000740,63.0,INCHEON,lg twins,04/23/2017,Gold,n,6.0,202426.0,2025.05.30,0.0,Offline Event,8,Premium Box
KBOFAN0004896,67.0,Changwon City,SamsungLions,21-06-2017,Silver,n,8.0,2621186.815,04-09-2023,0.0,Offline Event,6,Infield
KBOFAN0000719,37.0,Suwon-si,doosan bears,2022-11-26,Gold,0,7.0,277846.0,13-05-2023,0.0,SNS,10,Family Zone
KBOFAN0002396,36.0,Changwon, Kiwoom Heroes ,26-04-2018,Silver,No,9.0,598648.0,2024-05-25,1.0,Club Website,18,Premium Box
KBOFAN0003324,75.0,changwon,SSGLanders,03/16/2021,Silver,N,9.0,356705.0,06-02-2023,0.0,Friend Referral,5,Infield
KBOFAN0001885,44.0,Busan City,LG Twins,30-01-2018,Bronze,N,8.0,321250.0,08/07/2025,0.0,Club Website,7,Premium Box
KBOFAN0000084,70.0,Jeju-si,NC DINOS,23-08-2021,Gold,Y,4.0,187531.0,2024-05-17,,SNS,7,Outfield
KBOFAN0000957,51.0,Gwangju-si,SAMSUNG LIONS,2024-05-22,Gold,n,3.0,117187.0,2024-06-17,0.0,SNS,11,
KBOFAN0001543,52.0,Daejeon ,,09-03-2017,Bronze,1,7.0,144217.0,27-10-2025,1.0,Friend Referral,10,Family Zone
KBOFAN0003003,35.0,CHANGWON,doosan bears,25-06-2024,,1,7.0,357212.0,2025.02.15,0.0,Advertisement,14,Family Zone
KBOFAN0000326,36.0, Daejeon,kia tigers,2024-11-29,Silver,0,11.0,233666.0,2025-08-21,1.0,SNS,11,Outfield
KBOFAN0001123,50.0,Suwon ,hanwha eagles,2022-12-31,Bronze,y,7.0,182517.0,01/18/2024,1.0,SNS,10,Infield
KBOFAN0000195,61.0,SUWON, KIA Tigers ,04/09/2015,Silver,1,8.0,276104.0,2025.12.23,0.0,Friend Referral,10,Outfield
KBOFAN0004954,37.0,Suwon City, Kiwoom Heroes ,11/21/2015,Silver,y,4.0,85474.0,02/27/2024,0.0,Friend Referral,7,Premium Box
KBOFAN0002135,70.0,Incheon ,Samsung Lions,29-09-2022,VIP,1,4.0,238502.0,2024-05-05,1.0,SNS,8,Infield
KBOFAN0001273,71.0,Gwangju, LG Twins ,29-01-2019,Silver,n,8.0,353133.0,02/05/2024,0.0,Club Website,11,Premium Box
KBOFAN0003998,51.0,Changwon City,SSGLanders,2015.08.03,,n,6.0,126223.0,2023.03.02,,Friend Referral,8,Infield
KBOFAN0002806,74.0,Suwon City,Samsung Lions,2016-09-16,Gold,y,4.0,157486.0,09/27/2023,0.0,SNS,12,Table Seat
